ally_top,ally_jungle,ally_mid,ally_adc,ally_supp,enemy_top,enemy_jungle,enemy_mid,enemy_adc,enemy_supp,target_win
420,245,157,202,12,122,131,84,895,16,1
-1,-1,-1,202,-1,-1,-1,-1,-1,-1,1
420,-1,-1,202,12,122,131,84,895,-1,1
420,245,157,202,-1,-1,-1,84,895,-1,1
58,111,1,145,16,266,154,157,222,63,0
58,-1,-1,-1,-1,-1,-1,157,222,-1,0
-1,-1,-1,145,16,266,-1,-1,-1,63,0
58,-1,1,-1,16,-1,154,157,-1,-1,0
266,154,157,222,63,58,111,1,145,16,1
266,154,157,222,63,-1,-1,1,145,16,1
266,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,157,-1,-1,58,-1,-1,-1,-1,1
86,234,7,15,888,10,120,13,110,201,0
-1,-1,7,15,888,10,120,13,-1,201,0
-1,-1,-1,-1,-1,10,-1,-1,110,-1,0
-1,-1,7,-1,888,10,120,13,110,-1,0
10,120,13,110,201,86,234,7,15,888,1
10,120,-1,110,201,-1,-1,7,-1,-1,1
10,120,13,110,-1,86,234,-1,15,888,1
10,120,-1,110,201,86,234,7,15,888,1
106,427,92,29,117,82,238,55,202,147,0
106,-1,-1,29,117,-1,-1,-1,-1,-1,0
106,427,92,29,117,82,238,55,202,-1,0
-1,-1,92,-1,-1,82,-1,-1,-1,-1,0
82,238,55,202,147,106,427,92,29,117,1
82,238,55,202,147,-1,-1,-1,-1,-1,1
82,238,55,-1,147,106,427,92,29,117,1
82,-1,55,-1,147,106,427,92,-1,117,1
799,887,84,15,235,58,63,800,222,22,1
799,-1,84,15,235,58,-1,800,222,-1,1
799,-1,84,-1,235,-1,-1,800,-1,22,1
-1,-1,-1,15,-1,58,63,-1,-1,-1,1
58,63,800,222,22,799,887,84,15,235,0
58,-1,800,222,-1,799,-1,84,-1,-1,0
58,63,800,-1,-1,-1,887,-1,-1,235,0
58,-1,800,-1,-1,-1,-1,-1,-1,235,0
82,35,893,15,32,875,106,134,14,235,0
-1,-1,-1,-1,32,875,106,134,-1,-1,0
-1,35,-1,-1,-1,-1,-1,-1,-1,-1,0
82,35,-1,-1,32,-1,-1,-1,14,-1,0
875,106,134,14,235,82,35,893,15,32,1
875,-1,134,14,-1,-1,-1,893,-1,32,1
875,106,-1,-1,235,-1,-1,-1,-1,32,1
-1,106,134,14,235,82,35,893,-1,32,1
92,63,45,523,25,9,107,134,96,902,0
92,-1,-1,-1,25,-1,107,-1,-1,-1,0
-1,63,45,-1,25,9,107,-1,-1,-1,0
92,-1,45,-1,25,-1,-1,134,-1,-1,0
9,107,134,96,902,92,63,45,523,25,1
9,107,-1,-1,-1,-1,-1,-1,-1,-1,1
9,-1,134,-1,902,92,63,45,-1,-1,1
9,107,134,96,-1,92,63,-1,-1,-1,1
58,131,166,804,26,875,234,2,202,800,1
58,131,166,804,26,875,234,2,-1,800,1
-1,-1,166,-1,-1,-1,234,2,202,800,1
58,-1,-1,804,-1,-1,-1,-1,-1,-1,1
875,234,2,202,800,58,131,166,804,26,0
-1,234,2,-1,-1,-1,131,-1,-1,26,0
875,234,2,202,800,-1,131,166,804,26,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,26,0
36,234,101,18,40,6,11,134,15,16,0
